Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
Youtiao,https://www.seriouseats.com/youtiao-5207508,,0,0,4 hrs 35 mins,0,0,0,0
Pandesal (Filipino Rolls),https://www.seriouseats.com/pandesal-filipino-rolls-recipe-5189763,"555g (19 1/2 ounces; about 4 1/4 cups) all-purpose flour, such as Gold Medal,115g (4 ounces; 1/2 cup) sugar,8g (2 1/4 teaspoons) instant yeast, such as SAF,5g (1 1/2 teaspoons) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,225g (8 ounces; 1 cup) whole milk,60g (2 ounces; 1/4 cup) vegetable oil,2 large eggs (100g),1 large egg yolk (15g),60g (2 ounces; 1/2 cup) plain breadcrumbs",0,16,3 hrs 30 mins,229,6,37,6
Tortang Talong (Filipino Eggplant Omelette),https://www.seriouseats.com/tortang-talong-eggplant-omelette-5189762,"4 medium Japanese eggplant (about 1 1/2 pounds; 680g total) (see note),2 tablespoons (30ml) plus 3/4 cup (175ml) vegetable oil, divided, plus extra as needed,1 small yellow onion (4 ounces; 115g), finely chopped,1 medium garlic clove, minced,Kosher salt and freshly ground black pepper,8 ounces (225g) ground pork,1 tablespoon (15ml) oyster sauce,1 1/2 teaspoons (8ml) fish sauce,1 1/2 teaspoons (8ml) soy sauce,5 large eggs (250g), divided,Cooked white rice, for serving,Ketchup or banana ketchup, for serving",0,4,75 mins,810,26,33,65
Shakshuka (North African–Style Poached Eggs in Spicy Tomato Sauce) Recipe,https://www.seriouseats.com/shakshuka-north-african-shirred-eggs-tomato-pepper-recipe,"3 tablespoons (45ml) extra-virgin olive oil, plus more for drizzling,1 medium onion, thinly sliced,1 large red pepper (bell pepper for milder heat, or a hotter variety, such as red horned pepper, depending on your heat preference), stems, seeds, and ribs removed, thinly sliced,1 fresh small hot chile (such as jalapeño, serrano, or Fresno), stems, seeds, and ribs removed, thinly sliced,2 to 3 cloves garlic, thinly sliced,1 1/2 tablespoons (15g) sweet Hungarian or smoked Spanish paprika,2 teaspoons (8g) whole or ground cumin seed,1 (28-ounce; 800g) can whole peeled tomatoes, crushed by squeezing between your fingers or with a pastry blender (see note),Kosher salt and freshly ground black pepper,Large handful minced cilantro, parsley, or a mix,6 large eggs,Sliced oil-cured black olives, feta cheese, and/or artichoke hearts, for serving (all optional),Crusty bread, for serving",16,6,35 mins,292,13,32,13
Florentine Omelette With Spinach and Cheese Recipe,https://www.seriouseats.com/florentine-omelette-spinach-and-cheese,"5 large eggs,Kosher salt and freshly ground black or white pepper,3 1/2 ounces (100g) grated Gruyère or Swiss cheese,2 tablespoons (30g) unsalted butter, divided,2 medium cloves garlic, minced,1 pound (450g) fresh Savoy spinach, thoroughly washed, or 10 ounces (283g) defrosted frozen spinach (see note)",0,2,20 mins,549,37,10,41
Harissa (Armenian Wheat and Chicken Porridge),https://www.seriouseats.com/harissa-armenian-wheat-and-chicken-porridge-recipe-5224855,,0,6,60 mins,0,0,0,0
"Bacon, Cheese, and Kale Strata",https://www.seriouseats.com/bacon-cheese-and-kale-strata-5217605,,0,6,2 hrs 45 mins,0,0,0,0
Youtiao,https://www.seriouseats.com/youtiao-5207508,,0,0,4 hrs 35 mins,0,0,0,0
Korean Seaweed and Brisket Soup (Miyeok-Guk) Recipe,https://www.seriouseats.com/miyeok-guk-korean-seaweed-and-brisket-soup,"1 ounce (30g) dried miyeok seaweed (also sold under the Japanese name wakame),3 whole medium cloves garlic plus 3 finely minced medium cloves garlic, divided,One 1-inch piece fresh ginger (about 1/3 ounce; 10g), peeled,1/2 of a medium white onion (about 3 ounces; 85g for the half onion),12 ounces (350g) beef brisket, washed in cold water,2 tablespoons (30ml) Joseon ganjang (Korean soup soy sauce; see note), divided,Kosher or sea salt",0,6,3 hrs,173,17,2,11
How to Make a Wursthall-Style Smashed Burger,https://www.seriouseats.com/how-to-make-wursthall-smashburger,,0,0,0,0,0,0,0
