Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
Broccoli and Cheese Galette Recipe,https://www.seriouseats.com/savory-broccoli-and-cheese-galette,"1/2 batch Old-Fashioned Flaky Pie Dough,5 tablespoons (75ml) extra-virgin olive oil, divided,1 pound (450g) broccoli, cut into small florets with stalk slivers attached,1 medium (8-ounce, 225g) yellow onion, thinly sliced,Kosher salt,1 1/2 tablespoons unsalted butter,1 1/2 tablespoons all-purpose flour,1 cup (235ml) whole milk,6 ounces (170g) grated Gruyère cheese, divided,1 large egg",0,8,2 hrs 30 mins,471,12,35,32
Simple Pear Galette With Vanilla Recipe,https://www.seriouseats.com/pear-galette-recipe,"1/2 batch Old-Fashioned Flaky Pie Dough,1 vanilla bean, split and scraped,1 1/4 ounces plain or toasted sugar (about 3 tablespoons; 35g),3/4 ounce tapioca starch (about 3 tablespoons; 20g),1/2 teaspoon (2g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1/2 teaspoon Chinese five-spice powder,1/4 teaspoon ground cardamom,26 ounces crisp, semi-tart pears, such as Bosc or Seckel (about 3 large pears; 735g),1/2 ounce apple cider vinegar (1 tablespoon; 15g),1 large egg,1 large egg yolk,1/2 ounce heavy cream (1 tablespoon; 15g),1/8 teaspoon (0.5g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight",0,8,3 hrs,346,4,47,15
Freeform Peach Pie (Galette) Recipe,https://www.seriouseats.com/freeform-peach-pie-galette-recipe,"1/2 batch Old-Fashioned Flaky Pie Dough,4 large ripe peaches (about 24 ounces; 680g) (see note),1 ounce tapioca starch (1/4 cup; 28g),3 1/2 ounces sugar (1/2 cup; 100g),Pinch of Diamond Crystal kosher salt,1 large egg,1 large egg yolk,1/2 ounce heavy cream (1 tablespoon; 15g),1/8 teaspoon (1/2g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight,1/2 ounce silver rum (1 tablespoon; 15g),Super-Thick and Fruity Whipped Cream",14,8,3 hrs,350,5,49,15
"Flaky, Tender, and Nutty Whole Wheat Pie Crust Recipe",https://www.seriouseats.com/whole-wheat-pie-crust-recipe,"4 ounces all-purpose flour (about 1 cup minus 1 tablespoon; 110g),4 ounces whole wheat flour (about 1 cup minus 1 tablespoon; 115g), plus more for dusting,1/2 ounce sugar (1 tablespoon; 15g),1 teaspoon (4g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight,6 ounces unsalted butter (about 12 tablespoons; 170g), cold,5 ounces cold tap water (1/2 cup plus 2 tablespoons; 140g)",0,20,2 hrs 30 mins,104,1,9,7
Easy Pie Dough Recipe,https://www.seriouseats.com/easy-pie-dough-recipe,"2 1/2 cups (12.5 ounces; 350g) all-purpose flour, divided,2 tablespoons (25g) sugar,1 teaspoon (5g) kosher salt; for table salt use same weight or half as much by volume,2 1/2 sticks (10 ounces; 280g) unsalted butter, cut into 1/4-inch pats (see note),6 tablespoons (3 ounces; 85ml) cold water",70,16,2 hrs 20 mins,211,2,18,14
The Ultimate Beef Wellington Recipe,https://www.seriouseats.com/the-ultimate-beef-wellington-recipe,"1 center-cut beef tenderloin, trimmed of silverskin and fat, about 2 pounds (see note),Kosher salt and freshly ground black pepper,2 tablespoons plus 1/2 teaspoon vegetable or canola oil, divided,2 tablespoons prepared horseradish,1 tablespoon Dijon, spicy brown, or hot English mustard,1 pound mushrooms (button, cremini, shiitake, portabello, or a mix) cleaned, trimmed, and roughly chopped,4 tablespoons unsalted butter,2 medium shallots, finely diced (about 1/2 cup),2 teaspoons finely minced fresh thyme leaves,1/2 cup Cognac or other brandy or barrel-aged spirit, such as bourbon,1/2 cup heavy cream,2 teaspoons soy sauce,4 ounces fresh foie gras (about two 1/2-inch slabs, see note),1 sheet phyllo dough,1/4 pound prosciutto, sliced paper thin,Flour, for dusting,14 ounces frozen or homemade puff pastry, thawed (see note),1 egg, beaten,Coarse sea salt, such as Maldon or fleur de sel,1 bunch finely minced chives",16,8,3 hrs 40 mins,1029,34,48,75
"Muffuletta-Style Grilled Stuffed Flank Steak With Salumi, Provolone, and Olive Salad Recipe",https://www.seriouseats.com/grilled-stuffed-flank-steak-muffuletta-salumi-provolone-olive-salad-recipe,"1 whole flank steak, 2 to 2 1/2 pounds, trimmed of excess fat,Kosher salt and freshly ground black pepper,1 cup New Orleans-Style Olive Salad,3 ounces thinly sliced prosciutto,3 ounces thinly sliced capicola,3 ounces thinly sliced mortadella,4 ounces thinly sliced provolone cheese",0,6,60 mins,647,54,4,45
Potato and Cheese Pierogi,https://www.seriouseats.com/pierogi-recipe-5220146,,0,6,2 hrs,0,0,0,0
Curried Jamaican Beef Patties Recipe,https://www.seriouseats.com/curried-jamaican-beef-patties-recipe,"3 cups all-purpose flour,1/2 teaspoon kosher salt,2 tablespoons yellow curry powder, preferably Jamaican,1 cup (2 sticks) cold unsalted butter, cut into small pieces,3/4 cup cold water,1 tablespoon distilled white vinegar,1 large egg, lightly whisked,1 pound ground beef,1 tablespoon extra-virgin olive oil,1 large yellow onion, finely chopped,1 Scotch bonnet pepper, minced,2 medium cloves garlic, minced,1 1/4 cups low-sodium beef broth,1 1/2 tablespoons Pickapeppa or steak sauce,1 1/2 tablespoons Worcestershire sauce,1 teaspoon onion powder,1/2 teaspoon cayenne pepper,1 tablespoon yellow curry powder, preferably Jamaican,1/2 teaspoon allspice,1 teaspoon kosher salt,2 bay leaves,4 sprigs fresh thyme,1/2 cup breadcrumbs,Egg wash made from 1 large egg beaten with 1/4 cup water",7,6,2 hrs,822,32,62,49
How to Make Vegetable Galettes,https://www.seriouseats.com/how-to-make-savory-vegetable-galettes,,0,0,0,0,0,0,0
